,CNTSCHID,CNTSTUID,SUBNATIO,ST004D01T,AGE,PARED,HISEI,IMMIG,DURECEC,REPEAT,SCCHANGE,STUBMI,ESCS,ICTHOME,ICTSCH,CULTPOSS,DISCLIMA,EMOSUPS,BEINGBULLIED,PERCOMP,BODYIMA,W_FSTUWT,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE,PV6SCIE,PV7SCIE,PV8SCIE,PV9SCIE,PV10SCIE
10465,3200402.0,3200678.0,320200,1.0,15.75,12.0,71.29,2.0,3.0,0.0,,,-0.3264,,,,-1.4276,1.0346,2.896,0.0158,,69.22667,339.044,420.634,400.838,362.234,321.978,343.564,336.442,358.337,365.94,424.375,387.06,417.066,396.192,360.926,385.915,385.904,411.037,380.079,369.177,410.2,309.273,371.965,370.307,394.828,288.686,404.773,376.169,294.643,389.635
10466,3200402.0,3200929.0,320200,1.0,15.92,,24.53,,,1.0,,,-2.8453,,,-2.2054,,1.0346,-0.7823,-1.9892,,86.06283,226.029,239.904,261.212,233.817,257.021,180.866,278.272,242.243,255.576,248.826,253.311,324.08,224.317,197.574,214.739,244.333,247.188,269.792,254.796,298.236,275.097,313.19,264.096,267.725,300.292,323.084,213.044,279.263,246.773
10467,3200402.0,3200976.0,320200,1.0,15.25,14.5,16.38,1.0,,0.0,,,-2.3038,,,-0.6264,1.0294,0.2169,1.5082,-1.0299,,69.22667,286.967,350.832,324.596,331.428,334.729,316.948,323.05,345.622,322.728,411.804,478.025,414.758,443.955,478.271,461.446,461.769,438.257,437.787,470.718,459.274,432.13,454.548,460.892,404.117,455.042,439.54,466.408,404.323,412.596
10468,3200402.0,3201048.0,320200,1.0,15.92,,27.91,1.0,2.0,1.0,,,-1.93,,,0.0304,0.4608,0.3622,2.8415,1.1085,,86.06283,334.108,313.496,294.146,269.583,351.619,306.798,361.596,283.693,295.142,343.679,317.972,304.114,307.556,349.618,321.101,315.351,287.194,313.075,308.812,335.708,344.908,338.824,373.736,291.218,333.516,312.942,343.254,322.787,297.323
10469,3200402.0,3201754.0,320200,1.0,15.5,12.0,62.39,1.0,2.0,0.0,,,-1.0135,,,-1.217,-0.4403,1.0346,2.896,-1.0299,,69.22667,353.246,291.606,341.586,355.94,281.033,275.25,345.029,272.29,325.28,406.604,404.84,390.298,384.22,461.706,395.894,371.175,443.574,432.1,412.755,459.259,451.878,408.496,360.125,385.021,294.595,366.948,409.322,368.846,403.502
10470,3200402.0,3202884.0,320200,1.0,16.17,17.0,68.7,2.0,4.0,0.0,,,-0.1928,,,-0.9513,-1.0876,1.0346,0.7703,0.8147,,69.22667,345.739,335.409,399.049,342.226,413.801,396.077,322.667,344.18,381.131,445.208,420.765,487.561,485.27,422.032,496.584,475.013,432.595,480.155,476.164,455.31,380.517,417.356,447.585,385.011,387.93,462.202,421.942,403.284,430.444
10471,3200402.0,3203591.0,320200,2.0,15.67,12.0,66.42,1.0,3.0,0.0,,,-0.4615,,,-0.1094,-0.9514,1.0346,1.1625,-0.1532,,68.04871,360.918,392.538,367.093,416.584,434.451,377.421,433.104,459.547,404.471,377.456,376.905,388.692,306.55,368.631,357.108,329.926,408.36,396.738,352.39,482.312,553.961,553.589,531.906,501.383,525.617,494.482,535.262,495.964,504.498
10472,3200402.0,3203736.0,320200,1.0,15.67,12.0,18.13,1.0,3.0,0.0,,,-1.7923,,,-0.9513,-0.5708,0.5029,1.7316,-1.0299,,69.22667,418.124,319.045,336.0,382.067,295.878,301.075,267.575,331.958,378.146,291.326,362.35,345.772,346.766,434.178,340.514,371.939,355.867,352.492,355.62,368.235,301.999,316.901,310.069,350.191,347.124,321.181,325.208,329.176,336.555
10473,3200402.0,3203928.0,320200,2.0,15.67,10.0,43.33,1.0,2.0,1.0,,,-1.2988,,,-1.0283,0.1938,,,,,96.70826,375.834,422.769,401.271,356.293,391.801,366.549,396.597,429.597,317.528,383.508,414.635,409.86,384.351,412.643,385.855,397.236,366.811,411.809,356.764,386.328,376.579,410.714,409.351,432.077,409.908,427.442,380.646,432.428,360.9
10474,3200402.0,3204896.0,320200,2.0,16.0,17.0,31.08,1.0,3.0,0.0,,,-0.6803,,,0.7932,1.0573,-1.3914,0.7703,-0.6142,,68.04871,389.366,369.328,340.111,340.558,364.624,402.072,370.782,374.555,322.263,444.451,448.854,379.941,470.585,434.398,499.425,458.884,445.782,485.03,467.499,481.634,409.502,410.492,465.121,492.237,498.663,532.566,441.604,396.445,459.511
10475,3200402.0,3205749.0,320200,2.0,15.25,,28.84,1.0,,0.0,,,-2.5088,,,-0.6234,-0.4042,-0.9122,1.7056,-0.6142,,68.04871,345.832,387.19,276.287,278.873,280.806,218.276,241.303,386.227,361.103,336.17,343.805,350.202,344.192,270.197,321.308,301.902,320.738,368.465,338.624,371.126,352.107,365.45,279.956,262.298,330.103,379.682,331.742,396.672,365.582
10476,3200402.0,3206851.0,320200,2.0,16.17,12.0,,,,0.0,,,-0.9725,,,-2.2054,0.5077,-0.6576,-0.7823,-0.6142,,68.04871,381.977,376.526,373.036,326.716,318.101,349.462,395.637,351.612,363.552,390.285,409.118,412.934,420.979,435.147,388.535,388.866,371.617,399.171,379.019,376.601,366.678,364.482,396.291,347.032,364.864,275.12,368.853,401.281,355.302
10477,3200402.0,3207587.0,320200,1.0,15.58,,34.12,1.0,2.0,1.0,,,-1.3983,,,-0.1094,-0.9868,1.0346,1.1928,0.8147,,86.06283,247.615,195.581,292.298,228.675,289.365,300.973,251.278,261.31,223.527,395.674,393.05,372.735,348.336,352.787,407.485,346.141,394.707,350.956,392.858,369.351,319.62,370.164,338.761,383.239,376.552,392.73,348.584,308.015,338.376
10478,3200402.0,3209026.0,320200,1.0,16.08,14.5,68.7,1.0,,0.0,,,-0.2125,,,0.1095,-0.0673,,,,,69.22667,394.778,464.792,370.914,402.111,429.527,433.553,379.969,422.296,391.672,503.069,459.713,507.96,408.033,498.779,528.886,485.709,436.262,470.11,429.403,432.665,429.262,461.136,426.41,406.658,418.568,416.506,437.887,368.889,449.169
10479,3200402.0,3209075.0,320200,1.0,15.33,17.0,37.83,2.0,3.0,0.0,,,-1.1167,,,-0.9513,0.2377,,,,,69.22667,408.889,329.714,289.386,350.512,301.043,340.148,314.269,274.727,281.177,359.323,498.261,388.867,471.059,459.743,402.966,402.625,412.374,406.827,281.52,395.449,399.77,356.212,452.829,412.515,410.355,383.551,425.808,382.352,409.805
10480,3200402.0,3209201.0,320200,2.0,15.33,14.5,17.69,1.0,,1.0,,,-1.1897,,,-0.3724,-1.2681,,,,,68.04871,252.464,230.852,233.553,280.544,213.743,312.31,218.224,171.309,259.088,204.137,290.989,199.591,252.395,236.835,208.543,235.747,244.953,180.638,230.783,202.049,346.539,244.052,271.149,255.961,286.57,293.601,273.098,255.35,309.934
