,CNTSCHID,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM
63,3200066.0,public,3.0,4.2519,1114.0,0.1863,1.0,262.0,1.0,0.7824,0.0305,0.0115,53.0,1.0,0.4399,0.1964,-0.9505,-0.0452,0.9042,17.82982,2856.26706
64,3200067.0,public,3.0,11.9785,557.0,0.3008,0.0,46.5,1.0,0.914,0.086,0.0,53.0,1.0,-0.2264,-0.0719,0.1447,-0.4289,-1.9458,24.23027,1707.47738
65,3200068.0,private,1.0,6.3137,161.0,0.3448,1.0,25.5,1.0,0.7059,0.2941,0.1765,33.0,2.0,0.8339,-1.4551,-1.4335,-0.7733,-0.3006,18.31102,555.49792
66,3200069.0,private,2.0,16.1034,467.0,,,29.0,0.0,0.4828,0.4828,0.0345,53.0,2.0,-1.4212,-0.5869,-0.8074,0.2397,0.3009,8.01107,538.90275
67,3200070.0,private,1.0,5.2813,169.0,0.2388,1.0,32.0,,0.75,0.25,,23.0,3.0,-1.4212,-1.4551,1.0207,0.2397,-1.0542,18.31102,453.78251
68,3200071.0,private,2.0,12.4138,360.0,0.1905,1.0,29.0,1.0,0.2586,0.7414,0.2069,33.0,1.0,0.4591,-0.1953,0.718,0.7287,0.9042,46.64492,2666.06208
69,3200072.0,public,3.0,2.1778,98.0,,,45.0,0.2889,0.2,0.3778,0.3333,18.0,2.0,2.9595,0.0193,-2.0719,0.5986,0.9042,177.1978,2691.92233
70,3200073.0,private,1.0,12.1667,292.0,0.5106,1.0,24.0,0.8958,0.5208,0.375,0.0417,48.0,0.0,-0.2488,-0.1776,-2.0719,-0.4289,-1.6908,16.43297,788.78242
71,3200074.0,public,3.0,11.2444,506.0,0.3544,0.5357,45.0,0.8667,0.8667,0.1333,0.0,38.0,1.0,-1.4212,-1.4551,-0.2509,0.5642,0.1329,49.91487,3372.24497
72,3200075.0,public,3.0,,,,1.0,139.0,0.7194,0.1079,0.0719,0.0719,53.0,2.0,1.2478,2.0884,-1.173,1.1913,0.9042,5.88345,519.23398
73,3200076.0,public,3.0,8.3407,563.0,1.0588,1.0,67.5,1.0,0.8519,0.1481,0.0,53.0,0.0,-1.4212,-0.2968,-1.3196,0.5642,0.9042,33.7061,2644.56909
74,3200077.0,private,,,,,1.0,50.0,,,0.6,0.0,28.0,2.0,-0.4941,-1.4551,-1.3196,-0.5079,-1.0542,14.56558,568.34945
75,3200078.0,public,3.0,16.5484,513.0,0.0156,0.0,31.0,1.0,0.9516,0.9516,0.0,28.0,0.0,-0.2376,-0.2968,-0.0871,1.6842,0.1329,24.03475,1654.95366
76,3200079.0,public,3.0,11.5214,674.0,0.0594,0.1667,58.5,1.0,0.7179,0.265,0.0171,23.0,3.0,0.7889,0.9861,0.8153,0.5642,-0.6263,2.81055,271.87205
77,3200080.0,private,2.0,,487.0,0.6304,1.0,,,,,,,2.0,-0.2376,-0.7828,1.0148,0.2266,0.9042,5.21275,460.80728
78,3200081.0,public,3.0,11.9714,419.0,0.3488,0.0,35.0,1.0,0.6571,0.3429,0.0,13.0,1.0,1.2478,1.9609,1.1674,1.3735,0.9042,3.65049,241.94275
